id;device_no;capture_time;bottom_right;c_value;d_value;error_code;jhi_index;obj_para_x;obj_para_y;obj_pos_x;obj_pos_y;top_left;w_param
1;bifurcated withdrawal Granite;86273;reinvent multi-byte (Bouvetoya);Borders;relationships AI Toys;14877;19820;cross-platform;Small ubiquitous;vertical Strategist Direct;1080p Architect;Ball Home monitoring;36158
2;Robust;95529;Direct;THX;Factors virtual;87900;81562;Incredible Self-enabling;proactive;hack application;Gorgeous Networked Account;Fresh hacking teal;73829
3;Loan hack;8939;tan;Agent Kazakhstan driver;North;78475;2005;systems Central Pound;Pizza;transmit Rand Awesome;Account Digitized Nevada;Rustic;87698
4;hub;55820;fuchsia teal Expanded;Germany Buckinghamshire;Emirates Turnpike Handmade;39904;58696;fuchsia Avon value-added;Associate;microchip Concrete architectures;Fresh withdrawal;Awesome Plastic local;4199
5;Iowa Omani JBOD;56305;online strategize Concrete;Realigned systems Analyst;Advanced data-warehouse Liberian;83971;7969;input value-added;quantify mint archive;maroon;maximize Shilling Tactics;microchip;47799
6;matrix Chicken enable;4689;application;Functionality to;Usability THX copy;57151;69097;Fish;standardization;holistic Pine;indexing Wooden;Views;52933
7;Handcrafted Research orchestrate;19347;cross-platform;salmon Berkshire Licensed;Front-line;77333;72559;hardware;back Greens Netherlands;Market Usability Strategist;Washington workforce virtual;synthesize Flats;7489
8;Mississippi;41925;Belarussian Branding;strategic Health;yellow;13977;49512;Mexico Synergized Loop;Incredible Marketing;Christmas Games executive;Organized redefine violet;navigating Account;53647
9;Tuna Rustic fuchsia;63888;edge JBOD;metrics Configuration Team-oriented;SDD Berkshire Tenge;43291;7170;discrete;Fish Awesome Ports;Wooden;Lempira experiences needs-based;Intranet;41897
10;Market;4186;Data Bypass Handmade;indexing;Architect Unbranded violet;84517;25350;Refined;Interactions;azure Morocco;plug-and-play action-items Dirham;Sausages connecting Loan;10461
