id;device_no;time;x_val;y_val;all_vals
1;Haven solutions;40953;Account circuit Herzegovina;Concrete;red deposit Analyst
2;Representative;30556;Wooden Customer;calculating Rubber;Investment THX Street
3;Sleek Centralized;88536;Principal Jewelery interface;feed connecting maroon;action-items quantifying protocol
4;XML Ruble;2822;Assistant Forward utilisation;Intelligent Alabama Account;EXE digital Program
5;maroon;4046;Rustic Future Vermont;Reactive;SSL
6;Account override;90836;Pound;bandwidth cutting-edge;Maine optical
7;Future-proofed calculating extend;87243;Future-proofed District Universal;override Identity;global
8;empower Cotton;68402;Glens Handcrafted Enhanced;Soap Money;ADP
9;digital Tuna;37259;Central programming ROI;Quality Oklahoma evolve;Tuna
10;Cambridgeshire architectures time-frame;95335;Vista;Market generate indexing;bluetooth
